#物品表配置信息																				
#物品id	物品图标	物品名字	物品类型(2物品，3英雄，5装备碎片)	物品类型名称（1.英雄整卡（ID和roledetail表对应）；2、英雄碎片；3相框；4、宝石；5概括显示未知装备）	物品介绍	限制等级（0表示不限制等级）	物品品质（1白、2绿、3蓝、4紫、5橙、6橙1、 7橙2、 8橙3）	物品类型（1.英雄整卡；2、英雄碎片；3、英雄经验丹；4、强化石;5、星座激活材料；6、碎片；7、金币；8、装备；9、体力丹；10、宝箱；11、钻石；12扫荡券；13决斗币；14竞技币；15龙币；16积分币；17VIP；18书页；19精炼石；20突破石；21装备碎片；22相框激活物品；23力量宝石；24敏捷宝石；25智力宝石；26体质宝石；27专注宝石）28风之技能材料、29木之技能材料、30雷之技能材料、31冰之技能材料、32火之技能材料、33VIP经验卡 34概括显示性物品 35 队伍经验卡）	物品效果（对应物品类型起作用:1、整卡使用后转化成对应英雄碎片数量；3、经验值；4、强化经验值；5、星座相对位置ID；7、使用后获得对应的金币数量；8装备；9、使用后获得对应数量的体力；10、对应宝箱子表的宝箱ID；11、对应的钻石数量；12激活相应书籍；13激活相应相框	合成后的物品ID	合成所需的碎片数量	合成所需费用	出售价格（金币）	最大叠加数	是否可使用（1、可使用；0、不可使用）	是否获得自动使用（0表示不自动使用；1表示自动使用）	套装类别(装备碎片特有)	是否可出售（1是、2否）	获得后是否归公会统一分配（0，表示不分配，1表示归公会分配）	是否显示在公会副本展示中（0不显示，1显示）
int	string	string	int	string	string	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int
6089	xl9-icon	术·雷火链拼图	5	装备碎片	这是块装备拼图	0	6	21		10089	100	0	10	99999	0	0	2		1	
6090	kz9-icon	术·林影裤拼图	5	装备碎片	这是块装备拼图	0	6	21		10090	100	0	10	99999	0	0	2		1	
6091	wq10-icon	幻·凌光刃拼图	5	装备碎片	这是块装备拼图	0	6	21		10091	100	0	10	99999	0	0	3		1	
6092	yf10-icon	幻·封魔衣拼图	5	装备碎片	这是块装备拼图	0	6	21		10092	100	0	10	99999	0	0	3		1	
6093	st10-icon	幻·炎手套拼图	5	装备碎片	这是块装备拼图	0	6	21		10093	100	0	10	99999	0	0	3		1	
6094	xz10-icon	幻·雷纹靴拼图	5	装备碎片	这是块装备拼图	0	6	21		10094	100	0	10	99999	0	0	3		1	
6095	xl10-icon	幻·暴风祭拼图	5	装备碎片	这是块装备拼图	0	6	21		10095	100	0	10	99999	0	0	3		1	
6096	kz10-icon	幻·巨魔裤拼图	5	装备碎片	这是块装备拼图	0	6	21		10096	100	0	10	99999	0	0	3		1	
6097	wq11-icon	智·羽刃拼图	5	装备碎片	这是块装备拼图	0	6	21		10097	100	0	10	99999	0	0	4		1	
6098	yf11-icon	智·月风衣拼图	5	装备碎片	这是块装备拼图	0	6	21		10098	100	0	10	99999	0	0	4		1	
6099	st11-icon	智·雷手套拼图	5	装备碎片	这是块装备拼图	0	6	21		10099	100	0	10	99999	0	0	4		1	
6100	xz11-icon	智·归云影拼图	5	装备碎片	这是块装备拼图	0	6	21		10100	100	0	10	99999	0	0	4		1	
6101	xl11-icon	智·魔炎祭拼图	5	装备碎片	这是块装备拼图	0	6	21		10101	100	0	10	99999	0	0	4		1	
6102	kz11-icon	智·沧月裤拼图	5	装备碎片	这是块装备拼图	0	6	21		10102	100	0	10	99999	0	0	4		1	
6103	wq12-icon	封·灼炎斩拼图	5	装备碎片	这是块装备拼图	0	6	21		10103	100	0	10	99999	0	0	5		1	
6104	yf12-icon	封·原力衣拼图	5	装备碎片	这是块装备拼图	0	6	21		10104	100	0	10	99999	0	0	5		1	
6105	st12-icon	封·冰手套拼图	5	装备碎片	这是块装备拼图	0	6	21		10105	100	0	10	99999	0	0	5		1	
6106	xz12-icon	封·奥斯靴拼图	5	装备碎片	这是块装备拼图	0	6	21		10106	100	0	10	99999	0	0	5		1	
6107	xl12-icon	封·凌月链拼图	5	装备碎片	这是块装备拼图	0	6	21		10107	100	0	10	99999	0	0	5		1	
6108	kz12-icon	封·流火裤拼图	5	装备碎片	这是块装备拼图	0	6	21		10108	100	0	10	99999	0	0	5		1	
6109	wq8-icon	力·狂徒斩拼图	5	装备碎片	这是块装备拼图	0	7	21		10109	150	0	10	99999	0	0	1		1	
6110	yf8-icon	力·隐魔衣拼图	5	装备碎片	这是块装备拼图	0	7	21		10110	150	0	10	99999	0	0	1		1	
6111	st8-icon	力·劲手套拼图	5	装备碎片	这是块装备拼图	0	7	21		10111	150	0	10	99999	0	0	1		1	
6112	xz8-icon	力·碎石靴拼图	5	装备碎片	这是块装备拼图	0	7	21		10112	150	0	10	99999	0	0	1		1	
6113	xl8-icon	力·破玉祭拼图	5	装备碎片	这是块装备拼图	0	7	21		10113	150	0	10	99999	0	0	1		1	
6114	kz8-icon	力·伏魔裤拼图	5	装备碎片	这是块装备拼图	0	7	21		10114	150	0	10	99999	0	0	1		1	
6115	wq9-icon	术·连环斩拼图	5	装备碎片	这是块装备拼图	0	7	21		10115	150	0	10	99999	0	0	2		1	
6116	yf9-icon	术·擎天甲拼图	5	装备碎片	这是块装备拼图	0	7	21		10116	150	0	10	99999	0	0	2		1	
6117	st9-icon	术·御手套拼图	5	装备碎片	这是块装备拼图	0	7	21		10117	150	0	10	99999	0	0	2		1	
6118	xz9-icon	术·天刹靴拼图	5	装备碎片	这是块装备拼图	0	7	21		10118	150	0	10	99999	0	0	2		1	
6119	xl9-icon	术·血弑链拼图	5	装备碎片	这是块装备拼图	0	7	21		10119	150	0	10	99999	0	0	2		1	
6120	kz9-icon	术·傀儡裤拼图	5	装备碎片	这是块装备拼图	0	7	21		10120	150	0	10	99999	0	0	2		1	
6121	wq10-icon	幻·离魂刃拼图	5	装备碎片	这是块装备拼图	0	7	21		10121	150	0	10	99999	0	0	3		1	
6122	yf10-icon	幻·电霜衣拼图	5	装备碎片	这是块装备拼图	0	7	21		10122	150	0	10	99999	0	0	3		1	
6123	st10-icon	幻·离手套拼图	5	装备碎片	这是块装备拼图	0	7	21		10123	150	0	10	99999	0	0	3		1	
6124	xz10-icon	幻·神炎靴拼图	5	装备碎片	这是块装备拼图	0	7	21		10124	150	0	10	99999	0	0	3		1	
6125	xl10-icon	幻·冰焰祭拼图	5	装备碎片	这是块装备拼图	0	7	21		10125	150	0	10	99999	0	0	3		1	
6126	kz10-icon	幻·苍泪裤拼图	5	装备碎片	这是块装备拼图	0	7	21		10126	150	0	10	99999	0	0	3		1	
6127	wq11-icon	智·无形刃拼图	5	装备碎片	这是块装备拼图	0	7	21		10127	150	0	10	99999	0	0	4		1	
6128	yf11-icon	智·天羽衣拼图	5	装备碎片	这是块装备拼图	0	7	21		10128	150	0	10	99999	0	0	4		1	
6129	st11-icon	智·玄手套拼图	5	装备碎片	这是块装备拼图	0	7	21		10129	150	0	10	99999	0	0	4		1	
6130	xz11-icon	智·逍遥影拼图	5	装备碎片	这是块装备拼图	0	7	21		10130	150	0	10	99999	0	0	4		1	
6131	xl11-icon	智·百变祭拼图	5	装备碎片	这是块装备拼图	0	7	21		10131	150	0	10	99999	0	0	4		1	
6132	kz11-icon	智·穿云裤拼图	5	装备碎片	这是块装备拼图	0	7	21		10132	150	0	10	99999	0	0	4		1	
6133	wq12-icon	封·怒斩拼图	5	装备碎片	这是块装备拼图	0	7	21		10133	150	0	10	99999	0	0	5		1	
6134	yf12-icon	封·雅羽衣拼图	5	装备碎片	这是块装备拼图	0	7	21		10134	150	0	10	99999	0	0	5		1	
6135	st12-icon	封·龙手套拼图	5	装备碎片	这是块装备拼图	0	7	21		10135	150	0	10	99999	0	0	5		1	
6136	xz12-icon	封·狼牙靴拼图	5	装备碎片	这是块装备拼图	0	7	21		10136	150	0	10	99999	0	0	5		1	
6137	xl12-icon	封·七星链拼图	5	装备碎片	这是块装备拼图	0	7	21		10137	150	0	10	99999	0	0	5		1	
6138	kz12-icon	封·逸尘裤拼图	5	装备碎片	这是块装备拼图	0	7	21		10138	150	0	10	99999	0	0	5		1	
6139	wq8-icon	力·裂风斩拼图	5	装备碎片	这是块装备拼图	0	8	21		10139	200	0	10	99999	0	0	1		1	
6140	yf8-icon	力·御神衣拼图	5	装备碎片	这是块装备拼图	0	8	21		10140	200	0	10	99999	0	0	1		1	
6141	st8-icon	力·迅手套拼图	5	装备碎片	这是块装备拼图	0	8	21		10141	200	0	10	99999	0	0	1		1	
6142	xz8-icon	力·雷霆靴拼图	5	装备碎片	这是块装备拼图	0	8	21		10142	200	0	10	99999	0	0	1		1	
6143	xl8-icon	力·圣魔祭拼图	5	装备碎片	这是块装备拼图	0	8	21		10143	200	0	10	99999	0	0	1		1	
6144	kz8-icon	力·龙牙裤拼图	5	装备碎片	这是块装备拼图	0	8	21		10144	200	0	10	99999	0	0	1		1	
6145	wq9-icon	术·战神斩拼图	5	装备碎片	这是块装备拼图	0	8	21		10145	200	0	10	99999	0	0	2		1	
6146	yf9-icon	术·启天甲拼图	5	装备碎片	这是块装备拼图	0	8	21		10146	200	0	10	99999	0	0	2		1	
6147	st9-icon	术·真手套拼图	5	装备碎片	这是块装备拼图	0	8	21		10147	200	0	10	99999	0	0	2		1	
6148	xz9-icon	术·圣战靴拼图	5	装备碎片	这是块装备拼图	0	8	21		10148	200	0	10	99999	0	0	2		1	
6149	xl9-icon	术·赤月链拼图	5	装备碎片	这是块装备拼图	0	8	21		10149	200	0	10	99999	0	0	2		1	
6150	kz9-icon	术·梵天裤拼图	5	装备碎片	这是块装备拼图	0	8	21		10150	200	0	10	99999	0	0	2		1	
6151	wq10-icon	幻·开天刃拼图	5	装备碎片	这是块装备拼图	0	8	21		10151	200	0	10	99999	0	0	3		1	
6152	yf10-icon	幻·玄冰衣拼图	5	装备碎片	这是块装备拼图	0	8	21		10152	200	0	10	99999	0	0	3		1	
6153	st10-icon	幻·月手套拼图	5	装备碎片	这是块装备拼图	0	8	21		10153	200	0	10	99999	0	0	3		1	
6154	xz10-icon	幻·惊雷靴拼图	5	装备碎片	这是块装备拼图	0	8	21		10154	200	0	10	99999	0	0	3		1	
6155	xl10-icon	幻·古月祭拼图	5	装备碎片	这是块装备拼图	0	8	21		10155	200	0	10	99999	0	0	3		1	
6156	kz10-icon	幻·紫鸦裤拼图	5	装备碎片	这是块装备拼图	0	8	21		10156	200	0	10	99999	0	0	3		1	
6157	wq11-icon	智·龙纹刃拼图	5	装备碎片	这是块装备拼图	0	8	21		10157	200	0	10	99999	0	0	4		1	
6158	yf11-icon	智·万皇衣拼图	5	装备碎片	这是块装备拼图	0	8	21		10158	200	0	10	99999	0	0	4		1	
6159	st11-icon	智·天手套拼图	5	装备碎片	这是块装备拼图	0	8	21		10159	200	0	10	99999	0	0	4		1	
6160	xz11-icon	智·真魂影拼图	5	装备碎片	这是块装备拼图	0	8	21		10160	200	0	10	99999	0	0	4		1	
6161	xl11-icon	智·玄天祭拼图	5	装备碎片	这是块装备拼图	0	8	21		10161	200	0	10	99999	0	0	4		1	
6162	kz11-icon	智·幽灵裤拼图	5	装备碎片	这是块装备拼图	0	8	21		10162	200	0	10	99999	0	0	4		1	
6163	wq12-icon	封·落日斩拼图	5	装备碎片	这是块装备拼图	0	8	21		10163	200	0	10	99999	0	0	5		1	
6164	yf12-icon	封·秘境衣拼图	5	装备碎片	这是块装备拼图	0	8	21		10164	200	0	10	99999	0	0	5		1	
6165	st12-icon	封·赤手套拼图	5	装备碎片	这是块装备拼图	0	8	21		10165	200	0	10	99999	0	0	5		1	
6166	xz12-icon	封·狮吼靴拼图	5	装备碎片	这是块装备拼图	0	8	21		10166	200	0	10	99999	0	0	5		1	
6167	xl12-icon	封·紫月链拼图	5	装备碎片	这是块装备拼图	0	8	21		10167	200	0	10	99999	0	0	5		1	
6168	kz12-icon	封·雪魂裤拼图	5	装备碎片	这是块装备拼图	0	8	21		10168	200	0	10	99999	0	0	5		1	
7001	bs1-1icon	一级力量宝石	2	宝石	镶嵌后增加1%基础力量	0	1	23	1				100	1	1	0			1	
7002	bs1-2icon	二级力量宝石	2	宝石	镶嵌后增加2%基础力量	0	2	23	2				100	1	1	0			1	
7003	bs1-3icon	三级力量宝石	2	宝石	镶嵌后增加3%基础力量	0	3	23	3				100	1	1	0			1	
7004	bs1-4icon	四级力量宝石	2	宝石	镶嵌后增加4%基础力量	0	4	23	4				100	1	1	0			1	
7005	bs1-5icon	五级力量宝石	2	宝石	镶嵌后增加5%基础力量	0	5	23	5				100	1	1	0			1	
7006	bs1-6icon	六级力量宝石	2	宝石	镶嵌后增加7%基础力量	0	6	23	7				100	1	1	0			1	
7007	bs1-7icon	七级力量宝石	2	宝石	镶嵌后增加9%基础力量	0	7	23	9				100	1	1	0			1	
7008	bs1-8icon	八级力量宝石	2	宝石	镶嵌后增加12%基础力量	0	7	23	12				100	1	1	0			1	
7009	bs1-9icon	九级力量宝石	2	宝石	镶嵌后增加15%基础力量	0	8	23	15				100	1	1	0			1	
7011	bs2-1icon	一级敏捷宝石	2	宝石	镶嵌后增加1%基础敏捷	0	1	24	1				100	1	1	0			1	
7012	bs2-2icon	二级敏捷宝石	2	宝石	镶嵌后增加2%基础敏捷	0	2	24	2				100	1	1	0			1	
7013	bs2-3icon	三级敏捷宝石	2	宝石	镶嵌后增加3%基础敏捷	0	3	24	3				100	1	1	0			1	
7014	bs2-4icon	四级敏捷宝石	2	宝石	镶嵌后增加4%基础敏捷	0	4	24	4				100	1	1	0			1	
7015	bs2-5icon	五级敏捷宝石	2	宝石	镶嵌后增加5%基础敏捷	0	5	24	5				100	1	1	0			1	
7016	bs2-6icon	六级敏捷宝石	2	宝石	镶嵌后增加7%基础敏捷	0	6	24	7				100	1	1	0			1	
7017	bs2-7icon	七级敏捷宝石	2	宝石	镶嵌后增加9%基础敏捷	0	7	24	9				100	1	1	0			1	
7018	bs2-8icon	八级敏捷宝石	2	宝石	镶嵌后增加12%基础敏捷	0	7	24	12				100	1	1	0			1	
7019	bs2-9icon	九级敏捷宝石	2	宝石	镶嵌后增加15%基础敏捷	0	8	24	15				100	1	1	0			1	
7021	bs3-1icon	一级智力宝石	2	宝石	镶嵌后增加1%基础智力	0	1	25	1				100	1	1	0			1	
7022	bs3-2icon	二级智力宝石	2	宝石	镶嵌后增加2%基础智力	0	2	25	2				100	1	1	0			1	
7023	bs3-3icon	三级智力宝石	2	宝石	镶嵌后增加3%基础智力	0	3	25	3				100	1	1	0			1	
7024	bs3-4icon	四级智力宝石	2	宝石	镶嵌后增加4%基础智力	0	4	25	4				100	1	1	0			1	
7025	bs3-5icon	五级智力宝石	2	宝石	镶嵌后增加5%基础智力	0	5	25	5				100	1	1	0			1	
7026	bs3-6icon	六级智力宝石	2	宝石	镶嵌后增加7%基础智力	0	6	25	7				100	1	1	0			1	
7027	bs3-7icon	七级智力宝石	2	宝石	镶嵌后增加9%基础智力	0	7	25	9				100	1	1	0			1	
7028	bs3-8icon	八级智力宝石	2	宝石	镶嵌后增加12%基础智力	0	7	25	12				100	1	1	0			1	
7029	bs3-9icon	九级智力宝石	2	宝石	镶嵌后增加15%基础智力	0	8	25	15				100	1	1	0			1	
7031	bs4-1icon	一级体质宝石	2	宝石	镶嵌后增加1%基础体质	0	1	26	1				100	1	1	0			1	
7032	bs4-2icon	二级体质宝石	2	宝石	镶嵌后增加2%基础体质	0	2	26	2				100	1	1	0			1	
7033	bs4-3icon	三级体质宝石	2	宝石	镶嵌后增加3%基础体质	0	3	26	3				100	1	1	0			1	
7034	bs4-4icon	四级体质宝石	2	宝石	镶嵌后增加4%基础体质	0	4	26	4				100	1	1	0			1	
7035	bs4-5icon	五级体质宝石	2	宝石	镶嵌后增加5%基础体质	0	5	26	5				100	1	1	0			1	
7036	bs4-6icon	六级体质宝石	2	宝石	镶嵌后增加7%基础体质	0	6	26	7				100	1	1	0			1	
7037	bs4-7icon	七级体质宝石	2	宝石	镶嵌后增加9%基础体质	0	7	26	9				100	1	1	0			1	
7038	bs4-8icon	八级体质宝石	2	宝石	镶嵌后增加12%基础体质	0	7	26	12				100	1	1	0			1	
7039	bs4-9icon	九级体质宝石	2	宝石	镶嵌后增加15%基础体质	0	8	26	15				100	1	1	0			1	
7041	bs5-1icon	一级专注宝石	2	宝石	镶嵌后增加1%基础专注	0	1	27	1				100	1	1	0			1	
7042	bs5-2icon	二级专注宝石	2	宝石	镶嵌后增加2%基础专注	0	2	27	2				100	1	1	0			1	
7043	bs5-3icon	三级专注宝石	2	宝石	镶嵌后增加3%基础专注	0	3	27	3				100	1	1	0			1	
7044	bs5-4icon	四级专注宝石	2	宝石	镶嵌后增加4%基础专注	0	4	27	4				100	1	1	0			1	
7045	bs5-5icon	五级专注宝石	2	宝石	镶嵌后增加5%基础专注	0	5	27	5				100	1	1	0			1	
7046	bs5-6icon	六级专注宝石	2	宝石	镶嵌后增加7%基础专注	0	6	27	7				100	1	1	0			1	
7047	bs5-7icon	七级专注宝石	2	宝石	镶嵌后增加9%基础专注	0	7	27	9				100	1	1	0			1	
7048	bs5-8icon	八级专注宝石	2	宝石	镶嵌后增加12%基础专注	0	7	27	12				100	1	1	0			1	
7049	bs5-9icon	九级专注宝石	2	宝石	镶嵌后增加15%基础专注	0	8	27	15				100	1	1	0			1	
9590	book-shijie	VIP1卡	2	VIP卡	使用后获得VIP1权限	0	6	17	1				100			1			1	
9591	book-shijie	VIP2卡	2	VIP卡	使用后获得VIP2权限	0	6	17	2				100			1			0	
9592	book-shijie	VIP3卡	2	VIP卡	使用后获得VIP3权限	0	6	17	3				100			1			0	
9593	book-shijie	VIP4卡	2	VIP卡	使用后获得VIP4权限	0	6	17	4				100			1			0	
9599	book-shijie	VIP经验卡	2	VIP经验卡	使用后获得1点VIP经验	0	1	33	4				100	9999	1	1			0	
9699	book-shijie	队伍经验卡	2	队伍经验卡	使用后获得1点队伍经验	0	1	35	4				100	9999	1	1			0	
10000	shengwang	魂之宝箱	2	宝箱	使用获得各种品质提升道具	0	5	10	1000				0	99	1	0			1	
